Folio,Line,Book,Chapter,Lemma,Number,Case,Form,Morph,Pos,Rel,New Stemtype,
239v,6,3,41,писмѧ,Singular,Accusative,писмꙙ,-s---na--i,Nb,obj,etymological,
072v,26,1,10,пламꙑ,Singular,Accusative,пламень,-s---ma--i,Nb,obj,ambiguous,
083v,9,1,12,пламꙑ,Singular,Accusative,пламꙑ,-s---ma--i,Nb,obj,analogical,
218r,3,3,38,пламꙑ,Singular,Accusative,пламъ,-s---ma--i,Nb,obj,analogical,
150v,7,3,25,сѣмѧ,Singular,Accusative,сѣмꙙ,-s---na--i,Nb,obj,etymological,
048r,24,1,6,чисмѧ,Singular,Accusative,чисмꙙ,-s---na--i,Nb,obj,etymological,
004v,30,1,1,врѣмѧ,Singular,Dative,врѧмени,-s---nd--i,Nb,sub,etymological,
013r,1,1,3,врѣмѧ,Singular,Dative,врѣмени,-s---nd--i,Nb,sub,etymological,
049v,26,1,6,врѣмѧ,Singular,Dative,врѣмени,-s---nd--i,Nb,atr,etymological,
259v,4,3,46,врѣмѧ,Singular,Dative,врѣмени,-s---nd--i,Nb,obl,etymological,
280v,28,3,48,врѣмѧ,Singular,Dative,Врѣмени,-s---nd--i,Nb,sub,etymological,
039v,15,1,5,дьнь,Singular,Dative,дь҆ни,-s---md--i,Nb,atr,etymological,
048v,11,1,6,дьнь,Singular,Dative,дь҆нии,-s---md--i,Nb,sub,ambiguous,
051r,3,1,7,дьнь,Singular,Dative,дьни,-s---md--i,Nb,sub,etymological,
053v,24,1,7,дьнь,Singular,Dative,дь҆ни,-s---md--i,Nb,sub,etymological,
145v,3,3,25,дьнь,Singular,Dative,дь҆ни,-s---md--i,Nb,sub,etymological,
260r,6,3,46,дьнь,Singular,Dative,дь҆ни,-s---md--i,Nb,atr,etymological,
266r,7,3,46,дьнь,Singular,Dative,дни,-s---md--i,Nb,narg,etymological,
268v,17,3,47,дьнь,Singular,Dative,дь҆ни,-s---md--i,Nb,sub,etymological,
281r,23,3,48,дьнь,Singular,Dative,дꙿни,-s---md--i,Nb,obl,etymological,
212r,11,3,36,имѧ,Singular,Dative,и҅мени,-s---nd--i,Nb,narg,etymological,
150v,11,3,25,камꙑ,Singular,Dative,камени,-s---md--i,Nb,obl,etymological,
150v,14,3,25,камꙑ,Singular,Dative,камени,-s---md--i,Nb,obl,etymological,
198v,9,3,35,камꙑ,Singular,Dative,камени,-s---md--i,Nb,obl,etymological,
072r,18,1,9,пламꙑ,Singular,Dative,пламени,-s---md--i,Nb,sub,etymological,
283v,20,3,48,племѧ,Singular,Dative,племени,-s---nd--i,Nb,atr,etymological,
150v,10,3,25,сѣмѧ,Singular,Dative,сѣмени,-s---nd--i,Nb,obl,etymological,
274r,10,3,48,брѣмѧ,Singular,Genitive,брѣмене,-s---ng--i,Nb,obj,etymological,
013v,12,1,3,врѣмѧ,Singular,Genitive,врѣмене,-s---ng--i,Nb,obl,etymological,
046r,5,1,6,врѣмѧ,Singular,Genitive,врѣмене,-s---ng--i,Nb,atr,etymological,
122r,11,2,20,врѣмѧ,Singular,Genitive,врѣмене,-s---ng--i,Nb,obl,etymological,
123v,26,2,21,врѣмѧ,Singular,Genitive,врѣмене,-s---ng--i,Nb,obl,etymological,
166v,21,3,29,врѣмѧ,Singular,Genitive,врѣмене,-s---ng--i,Nb,obl,etymological,
173r,26,3,30,врѣмѧ,Singular,Genitive,врѣмене,-s---ng--i,Nb,sub,etymological,
202v,19,3,35,врѣмѧ,Singular,Genitive,врѣмене,-s---ng--i,Nb,obl,etymological,
204v,10,3,36,врѣмѧ,Singular,Genitive,врѣмене,-s---ng--i,Nb,obl,etymological,
227v,10,3,40,врѣмѧ,Singular,Genitive,врѣмене,-s---ng--i,Nb,obl,etymological,
279r,3,3,48,врѣмѧ,Singular,Genitive,врѣмене,-s---ng--i,Nb,obl,etymological,
283r,8,3,48,врѣмѧ,Singular,Genitive,врѣмене,-s---ng--i,Nb,obl,etymological,
285r,20,3,48,врѣмѧ,Singular,Genitive,врѣмене,-s---ng--i,Nb,obl,etymological,
062v,13,1,8,дьнь,Singular,Genitive,дьне,-s---mg--i,Nb,obl,etymological,
063v,29,1,9,дьнь,Singular,Genitive,дь҆не,-s---mg--i,Nb,obl,etymological,
100r,23,1,16,дьнь,Singular,Genitive,дь҆не,-s---mg--i,Nb,obl,etymological,
100v,20,1,16,дьнь,Singular,Genitive,дьне,-s---mg--i,Nb,obl,etymological,
109r,22,1,18,дьнь,Singular,Genitive,дьне,-s---mg--i,Nb,obl,etymological,
144r,1,3,25,дьнь,Singular,Genitive,дь҆не,-s---mg--i,Nb,obl,etymological,
185r,14,3,32,дьнь,Singular,Genitive,дь҆не,-s---mg--i,Nb,obj,etymological,
188r,6,3,32,дьнь,Singular,Genitive,дь҆ни,-s---mg--i,Nb,obj,analogical,
214r,4,3,37,дьнь,Singular,Genitive,дьне,-s---mg--i,Nb,atr,etymological,
215r,17,3,38,дьнь,Singular,Genitive,дь҆ни,-s---mg--i,Nb,voc,analogical,
215v,8,3,38,дьнь,Singular,Genitive,дь҆ни,-s---mg--i,Nb,obl,analogical,
216r,16,3,38,дьнь,Singular,Genitive,дьни,-s---mg--i,Nb,atr,analogical,
218r,29,3,38,дьнь,Singular,Genitive,дь҆ни,-s---mg--i,Nb,part,analogical,
219r,8,3,38,дьнь,Singular,Genitive,дь҆ни,-s---mg--i,Nb,part,analogical,
220r,21,3,39,дьнь,Singular,Genitive,дь҆не,-s---mg--i,Nb,obl,etymological,
222r,17,3,39,дьнь,Singular,Genitive,дь҆не,-s---mg--i,Nb,obl,etymological,
236v,19,3,41,дьнь,Singular,Genitive,дьне,-s---mg--i,Nb,adv,etymological,
240r,12,3,42,дьнь,Singular,Genitive,дь҆ни,-s---mg--i,Nb,narg,analogical,
255r,24,3,45,дьнь,Singular,Genitive,дь҆ни,-s---mg--i,Nb,adv,analogical,
266r,6,3,46,дьнь,Singular,Genitive,дꙿне,-s---mg--i,Nb,obl,etymological,
266v,11,3,46,дьнь,Singular,Genitive,дь҆не,-s---mg--i,Nb,obl,etymological,
280v,26,3,48,дьнь,Singular,Genitive,дьне,-s---mg--i,Nb,obl,etymological,
011r,12,1,2,имѧ,Singular,Genitive,и҅мене,-s---ng--i,Nb,obj,etymological,
023r,19,1,3,имѧ,Singular,Genitive,и҅мене,-s---ng--i,Nb,obl,etymological,
023v,20,1,3,имѧ,Singular,Genitive,и҅мене,-s---ng--i,Nb,obl,etymological,
053r,8,1,7,имѧ,Singular,Genitive,и҅мене,-s---ng--i,Nb,obl,etymological,
